Day,Search term,Match type,Added/Excluded,Ad group,Keyword,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
2026-04-12,vakantiewoningen voor groepen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > groep,[groepshuis huren],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-02,vakantie park voor kinderen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[vakantiepark met kinderen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-08,vakantiehuis met sauna,Exact match,Added,LDL | NL | S | GE | Accommodations > sauna,[vakantiehuis met sauna],2,1,200.00%,EUR,1.95,3.90,0.00%,0.00,0.00
2026-04-09,accommodatie met jacuzzi,Exact match,Added,LDL | NL | S | GE | Accommodations > bubbelbad,[accommodatie met jacuzzi],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-06,vakantiehuisjes huren,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > vakantiehuis,[huisje boeken],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-06,vakantiehuisje 10 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[vakantiehuis voor 10 personen],2,2,100.00%,EUR,2.00,4.00,0.00%,0.00,0.00
2026-04-02,bungale,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > vakantiehuis,[bungalow],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-13,kamperen luxe,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > glamping,[luxe glamping],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-06,vakantiehuizen voor 12 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[12 persoons vakantiehuis],1,1,100.00%,EUR,1.93,1.93,0.00%,0.00,0.00
2026-03-31,14 persoons huisje,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 14-19 persoons,[14 persoons vakantiehuis],1,1,100.00%,EUR,2.00,2.00,0.00%,0.00,0.00
2026-04-07,villa voor 12 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[12 persoons vakantiehuis],1,1,100.00%,EUR,1.71,1.71,0.00%,0.00,0.00
2026-04-03,12 persoons huisje huren,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 9-13 persoons,[12 personen huis huren],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-02,vakantiehuisje met kinderen,Exact match,Added,LDL | NL | S | GE | Accommodations > kinderen,[vakantiehuisje met kinderen],0,3,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-08,huisje huren,Exact match,Added,LDL | NL | S | GE | Accommodations > vakantiehuis,[huisje huren],13,77,16.88%,EUR,1.83,23.78,0.00%,0.00,0.00
2026-04-12,vakantiewoning prive zwembad,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > zwembad,[huisje met prive zwembad],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-12,nachtje weg met familie,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[overnachting met kinderen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-08,vakantiehuizen 14 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 14-19 persoons,[14 persoons vakantiehuis],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-07,vakantiehuisje huren,Exact match,Added,LDL | NL | S | GE | Accommodations > vakantiehuis,[vakantiehuisje huren],4,27,14.81%,EUR,1.42,5.67,0.00%,0.00,0.00
2026-04-05,vakantiehuis huren 16 personen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > 14-19 persoons,[16 personen huisje huren],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-08,huisje huren met zwembad,Exact match,Added,LDL | NL | S | GE | Accommodations > zwembad,[huisje huren met zwembad],0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-03-31,overnachten met hottub,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > bubbelbad,[accommodatie met hottub],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-11,bungalowpark jacuzzi,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > bubbelbad,[vakantiepark met bubbelbad],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
2026-04-10,leuk vakantiepark met kinderen,Exact match (close variant),None,LDL | NL | S | GE | Accommodations > kinderen,[vakantieparken kinderen],0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
