booking_date,bookings,rental_revenue,guests,booked_nights,avg_adr,temp_max,temp_min,temp_mean,rain_mm,year,month,day_of_week,week_of_year,bookings_month_avg,bookings_dow_avg,bookings_vs_month_avg,bookings_vs_dow_avg
2023-01-01,2715,1651245.5138,11172,13329,128.24456058771733,16.4,10.6,12.9,3.6,2023,1,6,52,3263.1451612903224,3028.8720930232557,0.832019375725972,0.8963732757991885
2023-01-02,3813,2255778.9918,14688,20219,116.76003404260582,12.1,5.6,9.4,9.2,2023,1,0,1,3263.1451612903224,2627.7848837209303,1.168504559721227,1.45103201697424
2023-01-03,3703,2239445.2026,14617,19610,121.75923836036746,8.4,3.0,5.8,0.1,2023,1,1,1,3263.1451612903224,2273.502923976608,1.1347947507599536,1.6287641247115896
2023-01-04,3799,2274790.1369,14808,20338,120.67579848026593,12.2,8.5,10.8,10.9,2023,1,2,1,3263.1451612903224,2336.3274853801167,1.164214220398883,1.62605628867218
2023-01-05,3968,2603112.8459,14717,26633,112.47744522994196,11.1,8.9,9.9,1.4,2023,1,3,1,3263.1451612903224,2180.33918128655,1.2160047450757483,1.819900332047699
2023-01-06,3384,2138040.8661,13393,18770,123.41855669907932,10.5,8.9,9.9,2.1,2023,1,4,1,3263.1451612903224,2145.7719298245615,1.037036304772261,1.5770548365206156
2023-01-07,3064,1974269.4936,12348,15854,128.89240162197243,11.4,8.1,9.9,0.6,2023,1,5,1,3263.1451612903224,2058.5555555555557,0.9389714059758298,1.4884223025854157
2023-01-08,4787,3094289.464,19173,24749,129.277269997836,10.7,7.4,8.5,0.6,2023,1,6,1,3263.1451612903224,3028.8720930232557,1.4669895954328647,1.5804563061696926
2023-01-09,5802,5410209.2271,23659,70584,103.27404636654968,7.7,4.5,6.5,6.8,2023,1,0,2,3263.1451612903224,2627.7848837209303,1.7780391963027953,2.2079432894006135
2023-01-10,4317,4090366.3641,18129,42026,115.57826500219755,9.6,4.3,5.9,6.1,2023,1,1,2,3263.1451612903224,2273.502923976608,1.3229567753256062,1.8988319541938787
2023-01-11,4046,2622166.5597,16140,22254,127.25769585151708,11.1,7.9,9.6,7.7,2023,1,2,2,3263.1451612903224,2336.3274853801167,1.2399080641573783,1.7317777688780314
2023-01-12,4004,3214071.5565,15929,28065,123.99399153779056,11.4,8.4,9.9,26.1,2023,1,3,2,3263.1451612903224,2180.33918128655,1.2270370461903468,1.8364115245763575
2023-01-13,3472,2275678.9139,13627,19565,124.51800301335705,9.9,7.1,8.1,0.8,2023,1,4,2,3263.1451612903224,2145.7719298245615,1.0640041519412797,1.6180657187942016
2023-01-14,3922,2533145.8744,15345,20770,124.9654694737592,11.2,5.2,8.3,16.6,2023,1,5,2,3263.1451612903224,2058.5555555555557,1.2019079158737613,1.9052194095104442
2023-01-15,5318,3602285.7599,21650,27929,131.647656660883,8.1,4.2,6.1,3.2,2023,1,6,2,3263.1451612903224,3028.8720930232557,1.6297160368731929,1.7557690904972685
2023-01-16,3876,2657070.3195,15618,23120,129.05578034309627,5.4,2.7,4.0,7.8,2023,1,0,3,3263.1451612903224,2627.7848837209303,1.1878110866717742,1.4750065821642155
2023-01-17,3063,2069018.3998,12360,16651,134.35003163052775,4.1,-1.5,1.5,2.5,2023,1,1,3,3263.1451612903224,2273.502923976608,0.938664953167091,1.3472601982153927
2023-01-18,3239,2094520.2303,13061,16997,132.73060829150361,4.1,-2.1,0.6,1.5,2023,1,2,3,3263.1451612903224,2336.3274853801167,0.9926006475051282,1.3863638639139753
2023-01-19,2821,2010587.7143,11216,16942,128.0257738813699,4.8,-0.8,2.2,3.4,2023,1,3,3,3263.1451612903224,2180.33918128655,0.8645033734522898,1.2938353923151609
2023-01-20,2771,1683900.8335,10880,14512,125.40115091844812,1.9,-1.6,0.3,4.4,2023,1,4,3,3263.1451612903224,2145.7719298245615,0.8491807330153474,1.2913767588648422
2023-01-21,2831,1969540.1702,11440,14767,140.06535112756148,2.2,-7.4,-1.5,0.0,2023,1,5,3,3263.1451612903224,2058.5555555555557,0.8675679015396782,1.375236141847034
2023-01-22,4168,3016003.8831,17200,21881,143.96901558677425,2.2,-1.8,0.7,0.0,2023,1,6,3,3263.1451612903224,3028.8720930232557,1.2772953068235178,1.3760898024055312
2023-01-23,3765,2365571.6704,14872,20499,127.88677633132752,4.2,-0.1,2.5,0.0,2023,1,0,4,3263.1451612903224,2627.7848837209303,1.1537948249017622,1.4327656815914014
2023-01-24,3032,1971224.8172,11838,17106,128.4323696245729,2.6,-0.6,1.1,0.0,2023,1,1,4,3263.1451612903224,2273.502923976608,0.9291649160961867,1.3336248517757332
2023-01-25,3230,2057133.5487,12776,17073,127.550860401851,0.9,-1.2,-0.0,0.0,2023,1,2,4,3263.1451612903224,2336.3274853801167,0.9898425722264785,1.3825116642303612
2023-01-26,2971,1951835.1114,11421,16788,125.4971269946449,7.2,-0.4,3.6,2.7,2023,1,3,4,3263.1451612903224,2180.33918128655,0.910471294763117,1.3626320278512383
2023-01-27,2945,1771287.5384,11464,15489,122.38015434388778,4.9,2.3,3.7,0.1,2023,1,4,4,3263.1451612903224,2145.7719298245615,0.9025035217359069,1.372466457905796
2023-01-28,3014,1967721.0222,11861,15816,129.77257754302272,4.7,0.2,2.5,0.0,2023,1,5,4,3263.1451612903224,2058.5555555555557,0.9236487655388874,1.464133426890484
2023-01-29,4726,3255166.6153,18833,24690,136.70192427836685,5.6,0.9,3.0,0.0,2023,1,6,4,3263.1451612903224,3028.8720930232557,1.448295974099795,1.560316796105696
2023-01-30,3659,2201609.7292,13989,19503,121.72242369981235,7.9,4.1,6.6,1.3,2023,1,0,5,3263.1451612903224,2627.7848837209303,1.1213108271754442,1.3924275242876327
2023-01-31,3129,1925520.7027,12181,16909,124.6957889563032,8.8,2.8,5.8,0.4,2023,1,1,5,3263.1451612903224,2273.502923976608,0.9588908385438549,1.376290290635313
2023-02-01,3169,1911802.8849,12304,15828,127.25403475812512,8.2,5.4,6.7,4.4,2023,2,2,5,2792.9646017699115,2336.3274853801167,1.1346366502431837,1.3564023108191996
2023-02-02,3126,1866654.1305,11972,16192,120.14960716628592,8.4,6.4,7.6,4.0,2023,2,3,5,2792.9646017699115,2180.33918128655,1.1192408231808748,1.4337218845718516
2023-02-03,2759,1589910.7937,10369,14443,116.60130964723994,10.4,7.3,8.8,1.1,2023,2,4,5,2792.9646017699115,2145.7719298245615,0.9878392294165175,1.2857843658275352
2023-02-04,2791,1783519.6717,10899,14203,129.86369024868557,9.1,4.8,7.2,0.3,2023,2,5,5,2792.9646017699115,2058.5555555555557,0.9992965890907939,1.3558050412910887
2023-02-05,4234,2829563.6074,16576,21747,131.97837901377153,8.2,3.5,6.4,2.3,2023,2,6,5,2792.9646017699115,3028.8720930232557,1.5159519019026948,1.3978800919829701
2023-02-06,3437,2066791.8598,13264,18143,121.26476855774028,7.9,-0.6,3.5,0.0,2023,2,0,6,2792.9646017699115,2627.7848837209303,1.2305920375152486,1.3079457231420044
2023-02-07,2913,1749403.7225,11331,19233,125.19958781337309,4.4,-2.4,0.2,0.0,2023,2,1,6,2792.9646017699115,2273.502923976608,1.0429777728489726,1.2812827154428466
2023-02-08,3088,1846503.3762,11587,24806,117.59394106554092,5.7,-3.2,0.1,0.0,2023,2,2,6,2792.9646017699115,2336.3274853801167,1.1056352085676717,1.3217325136666735
2023-02-09,2831,1624124.2655,10658,14323,118.7094371134791,6.2,-1.9,1.8,0.0,2023,2,3,6,2792.9646017699115,2180.33918128655,1.0136182886836393,1.298421834684233
2023-02-10,2741,1519172.4306,10237,13912,114.88007454670147,7.2,0.3,3.5,0.0,2023,2,4,6,2792.9646017699115,2145.7719298245615,0.981394464599737,1.2773957762715744
2023-02-11,2920,1838534.8178,11359,15045,125.04095637149715,10.1,4.7,7.2,0.1,2023,2,5,6,2792.9646017699115,2058.5555555555557,1.0454840702777206,1.4184703405840124
2023-02-12,4324,2828850.3836,16870,22258,129.93150940305125,9.0,5.8,7.0,0.0,2023,2,6,6,2792.9646017699115,3028.8720930232557,1.5481757259865971,1.4275941232249323
2023-02-13,3628,2132865.7862,13358,26351,118.54890696078795,11.0,2.5,6.5,0.0,2023,2,0,7,2792.9646017699115,2627.7848837209303,1.2989781530710858,1.3806305160195496
2023-02-14,2864,1689501.1216,10885,15165,117.1953907633682,11.1,1.0,4.6,0.0,2023,2,1,7,2792.9646017699115,2273.502923976608,1.0254336908477368,1.2597300710704815
2023-02-15,2929,1725672.3952,11409,14230,125.3592998120114,10.6,-0.4,4.2,0.0,2023,2,2,7,2792.9646017699115,2336.3274853801167,1.0487064526861107,1.253676985922826
2023-02-16,2607,1527272.682,9697,13374,120.29961085505064,9.8,4.5,6.9,3.8,2023,2,3,7,2792.9646017699115,2180.33918128655,0.9334167709637047,1.195685525617024
2023-02-17,2864,1455460.7916,10635,13504,110.13915202511544,11.2,9.3,10.1,0.9,2023,2,4,7,2792.9646017699115,2145.7719298245615,1.0254336908477368,1.3347178049039727
2023-02-18,2767,1577404.8915,10107,13454,116.27489499000778,11.6,9.1,9.9,2.5,2023,2,5,7,2792.9646017699115,2058.5555555555557,0.9907035693350866,1.3441463809575214
2023-02-19,4124,2450659.1356,15688,20359,119.5025617195076,9.5,4.5,8.0,3.1,2023,2,6,7,2792.9646017699115,3028.8720930232557,1.4765672280223698,1.3615629426872387
2023-02-20,3547,1870864.8725,13402,16914,110.67162227880672,9.0,5.0,7.3,0.0,2023,2,0,8,2792.9646017699115,2627.7848837209303,1.2699767113955736,1.3498060750610095
2023-02-21,3001,1643076.9628,11721,14520,116.98759763118066,9.4,7.4,8.3,0.0,2023,2,1,8,2792.9646017699115,2273.502923976608,1.0744855119532326,1.3199895053360737
2023-02-22,3158,1765481.5629,12089,15764,117.02763528712808,11.4,2.7,6.5,0.8,2023,2,2,8,2792.9646017699115,2336.3274853801167,1.1306981828551512,1.351694066761449
2023-02-23,3014,1558951.2709,11238,14658,110.3233342723535,9.2,5.2,7.0,1.1,2023,2,3,8,2792.9646017699115,2180.33918128655,1.0791400643209075,1.3823537300382471
2023-02-24,3184,1698117.5826,12114,15614,111.33698496221427,7.7,-0.7,3.9,1.7,2023,2,4,8,2792.9646017699115,2145.7719298245615,1.1400072875905007,1.48384828589883
2023-02-25,2845,1669243.4109,10808,13765,121.63632506582297,6.6,0.6,4.1,0.2,2023,2,5,8,2792.9646017699115,2058.5555555555557,1.0186308835411353,1.382037027041615
2023-02-26,3837,2428926.9814,14652,19154,127.54545422685996,5.7,-1.0,2.1,0.1,2023,2,6,8,2792.9646017699115,3028.8720930232557,1.3738090334437034,1.2668081986156488
2023-02-27,3110,1895154.6525,11989,16640,122.9774260765014,6.2,-2.0,1.8,0.0,2023,2,0,9,2792.9646017699115,2627.7848837209303,1.1135121433437367,1.1835063133464165
2023-02-28,2613,1685815.5541,9930,13457,126.26156107055732,5.8,-0.4,2.0,0.5,2023,2,1,9,2792.9646017699115,2273.502923976608,0.9355650259026315,1.1493277498977543
2023-03-01,2599,1593485.0736,9709,13276,124.316670389576,6.6,-3.2,1.0,0.0,2023,3,2,9,2482.8548387096776,2336.3274853801167,1.0467788770730884,1.1124296641903122
2023-03-02,2480,1570923.5639,9395,13224,126.22595423283796,8.2,-1.2,2.6,0.0,2023,3,3,9,2482.8548387096776,2180.33918128655,0.9988501789693186,1.1374377075298119
2023-03-03,2407,1516673.6103,9127,12317,127.84738944184332,7.1,-0.7,3.2,0.0,2023,3,4,9,2482.8548387096776,2145.7719298245615,0.9694485406367539,1.121740836733192
2023-03-04,2269,1639970.1354,9043,11907,146.05278534064135,7.6,3.4,5.7,0.5,2023,3,5,9,2482.8548387096776,2058.5555555555557,0.9138673613231386,1.1022291790360015
2023-03-05,3536,2478428.9503,13711,18504,138.79677355749357,5.9,1.5,3.9,1.4,2023,3,6,9,2482.8548387096776,3028.8720930232557,1.4241670293691575,1.16743127190642
2023-03-06,2838,1846022.8049,10780,14836,130.2098249327422,6.3,0.9,3.4,4.3,2023,3,0,10,2482.8548387096776,2627.7848837209303,1.143039035449567,1.079997079510331
2023-03-07,2324,1474399.8296,9237,11676,131.2129882145548,5.0,-0.4,2.8,9.4,2023,3,1,10,2482.8548387096776,2273.502923976608,0.9360192806147969,1.0222111330893153
