Date,Query,Impressions
"Mar 9, 2026",vakantiepark,524
"Mar 11, 2026",groepsaccommodatie,297
"Mar 13, 2026",groepsaccommodatie,209
"Mar 12, 2026",groepsaccommodatie,199
"Mar 10, 2026",groepsaccommodatie,192
"Mar 8, 2026",groepsaccommodatie,184
"Mar 14, 2026",groepsaccommodatie,174
"Mar 15, 2026",huisje met jacuzzi,165
"Mar 2, 2026",huisje met jacuzzi,145
"Mar 29, 2026",vakantiepark met subtropisch zwembad,139
"Mar 15, 2026",groepsaccommodatie,135
"Mar 15, 2026",vakantiepark met subtropisch zwembad,132
"Mar 8, 2026",vakantiepark met subtropisch zwembad,127
"Mar 25, 2026",vakantiepark,126
"Mar 3, 2026",huisje met jacuzzi,124
"Mar 4, 2026",groepsaccommodatie,118
"Mar 3, 2026",groepsaccommodatie,117
"Mar 14, 2026",vakantiepark met subtropisch zwembad,111
"Mar 11, 2026",vakantiepark met subtropisch zwembad,110
"Mar 26, 2026",vakantiepark,108
"Mar 6, 2026",groepsaccommodatie,103
"Mar 5, 2026",groepsaccommodatie,102
"Mar 19, 2026",vakantiepark,99
"Mar 24, 2026",vakantiepark met subtropisch zwembad,99
"Mar 31, 2026",groepsaccommodatie,99
"Mar 10, 2026",vakantiepark,98
"Mar 30, 2026",vakantieparken,98
"Mar 4, 2026",huisje met jacuzzi,97
"Mar 3, 2026",vakantiepark,96
"Mar 4, 2026",vakantiepark met subtropisch zwembad,94
"Mar 14, 2026",huisje met jacuzzi,94
"Mar 1, 2026",huisje met jacuzzi,93
"Mar 7, 2026",vakantiepark,93
"Mar 22, 2026",vakantiepark met subtropisch zwembad,92
"Mar 25, 2026",groepsaccommodatie,92
"Mar 5, 2026",vakantiepark,91
"Mar 13, 2026",vakantiepark met subtropisch zwembad,91
"Mar 1, 2026",groepsaccommodatie,89
"Mar 16, 2026",vakantiepark met subtropisch zwembad,89
"Mar 5, 2026",huisje met jacuzzi,88
"Mar 12, 2026",vakantiepark,88
"Mar 15, 2026",vakantiepark,88
"Mar 18, 2026",vakantiepark,88
"Mar 29, 2026",groepsaccommodatie,88
"Mar 10, 2026",vakantiepark met subtropisch zwembad,87
"Mar 5, 2026",vakantiepark met subtropisch zwembad,86
"Mar 6, 2026",vakantiepark,86
"Mar 25, 2026",vakantieparken,86
"Mar 16, 2026",groepsaccommodatie,84
"Mar 30, 2026",vakantiepark met subtropisch zwembad,83
"Mar 9, 2026",huisje met jacuzzi,82
"Mar 27, 2026",groepsaccommodatie,82
"Mar 7, 2026",groepsaccommodatie,81
"Mar 12, 2026",vakantiepark met subtropisch zwembad,81
"Mar 26, 2026",groepsaccommodatie,81
"Mar 2, 2026",vakantiepark met subtropisch zwembad,80
"Mar 15, 2026",vakantieparken,80
"Mar 17, 2026",groepsaccommodatie,79
"Mar 31, 2026",vakantiepark met subtropisch zwembad,79
"Mar 28, 2026",vakantiepark met subtropisch zwembad,78
"Mar 4, 2026",vakantiepark,78
"Mar 6, 2026",vakantiepark met subtropisch zwembad,77
"Mar 9, 2026",groepsaccommodatie,77
"Mar 19, 2026",groepsaccommodatie,77
"Mar 28, 2026",groepsaccommodatie,77
"Mar 12, 2026",vakantieparken,75
"Mar 25, 2026",vakantiepark met subtropisch zwembad,75
"Mar 29, 2026",vakantiepark,75
"Mar 19, 2026",vakantiepark met subtropisch zwembad,73
"Mar 8, 2026",vakantiepark,73
"Mar 11, 2026",vakantiepark,73
"Mar 14, 2026",vakantiepark,73
"Mar 16, 2026",vakantiepark,73
"Mar 1, 2026",vakantiepark,73
"Mar 7, 2026",huisje met jacuzzi,72
"Mar 26, 2026",vakantiepark met subtropisch zwembad,72
"Mar 27, 2026",vakantieparken,72
"Mar 5, 2026",vakantieparken,70
"Mar 26, 2026",vakantiehuis,70
"Mar 1, 2026",vakantiepark met subtropisch zwembad,69
"Mar 18, 2026",huisje met jacuzzi,69
"Mar 1, 2026",vakantieparken,68
"Mar 21, 2026",vakantiepark,68
"Mar 22, 2026",vakantiepark,67
"Mar 2, 2026",groepsaccommodatie,66
"Mar 20, 2026",vakantiepark,66
"Mar 22, 2026",groepsaccommodatie,66
"Mar 17, 2026",vakantiepark met subtropisch zwembad,65
"Mar 2, 2026",vakantiepark,65
"Mar 17, 2026",huisje met jacuzzi,65
"Mar 2, 2026",bungalowpark,65
"Mar 20, 2026",glamping,65
"Mar 31, 2026",vakantiepark,65
"Mar 3, 2026",vakantiepark met subtropisch zwembad,63
"Mar 13, 2026",vakantiepark,63
"Mar 19, 2026",vakantieparken,63
"Mar 2, 2026",vakantieparken,62
"Mar 9, 2026",vakantiepark met subtropisch zwembad,62
"Mar 18, 2026",glamping,62
"Mar 23, 2026",vakantiepark met subtropisch zwembad,62
"Mar 24, 2026",vakantiepark,62
"Mar 10, 2026",vakantieparken,61
"Mar 16, 2026",huisje met jacuzzi,61
"Mar 18, 2026",groepsaccommodatie,60
"Mar 17, 2026",vakantiepark,60
"Mar 21, 2026",vakantiepark met subtropisch zwembad,60
"Mar 28, 2026",vakantiepark,60
"Mar 21, 2026",groepsaccommodatie,59
"Mar 23, 2026",vakantiepark,58
"Mar 20, 2026",groepsaccommodatie,56
"Mar 30, 2026",groepsaccommodatie,56
"Mar 6, 2026",huisje met jacuzzi,55
"Mar 30, 2026",vakantiepark,55
"Mar 20, 2026",vakantieparken,54
"Mar 27, 2026",vakantiepark,53
"Mar 27, 2026",vakantiepark met subtropisch zwembad,53
"Mar 12, 2026",bungalowpark,52
"Mar 18, 2026",vakantieparken,52
"Mar 24, 2026",huisje met jacuzzi,52
"Mar 28, 2026",vakantiehuis,52
"Mar 29, 2026",huisje met jacuzzi,51
"Mar 4, 2026",vakantieparken,51
"Mar 1, 2026",glamping,51
"Mar 11, 2026",huisje met jacuzzi,50
"Mar 21, 2026",vakantieparken,49
"Mar 14, 2026",vakantieparken,48
"Mar 17, 2026",vakantieparken,48
"Mar 20, 2026",vakantiepark met subtropisch zwembad,48
"Mar 6, 2026",vakantieparken,47
